"Date","Price","Open","High","Low","Vol.","Change.."
2017-12-14,283.8,312.89,324.62,256.1,"5.82M","-9.30%"
2017-12-13,312.89,352.08,372.55,275,"9.32M","-11.13%"
2017-12-12,352.08,218.6,420,213.3,"15.30M","61.06%"
2017-12-11,218.6,150.99,235,149.96,"9.79M","44.78%"
2017-12-10,150.99,160.95,160.95,135.45,"5.33M","-6.19%"
2017-12-09,160.95,128.97,199,128.96,"14.21M","24.80%"
2017-12-08,128.97,97.96,144.75,95.8,"10.10M","31.66%"
2017-12-07,97.96,100.01,102.48,95.01,"4.00M","-2.05%"
2017-12-06,100.01,101.01,103.9,97.75,"3.24M","-0.99%"
2017-12-05,101.01,104.28,104.29,101.01,"2.01M","-3.14%"
2017-12-04,104.28,101.2,104.5,95.47,"2.50M","3.04%"
2017-12-03,101.2,99.65,107.49,97,"3.27M","1.56%"
2017-12-02,99.65,100.16,104.75,98.1,"3.41M","-0.51%"
2017-12-01,100.16,85.82,100.77,82,"5.69M","16.71%"
2017-11-30,85.82,86.7,93.5,78,"4.35M","-1.01%"
2017-11-29,86.7,94.49,103.54,76.01,"6.70M","-8.24%"
2017-11-28,94.49,91.38,94.88,89.96,"2.41M","3.40%"
2017-11-27,91.38,86.62,93.89,86.4,"3.62M","5.50%"
2017-11-26,86.62,89.13,89.21,84.18,"2.87M","-2.82%"
2017-11-25,89.13,77.54,89.88,77.24,"4.34M","14.95%"
2017-11-24,77.54,73.3,77.7,72.51,"2.24M","5.78%"
2017-11-23,73.3,72.31,77.96,71.07,"3.00M","1.37%"
2017-11-22,72.31,70,72.32,70,"1.38M","3.30%"
2017-11-21,70,72.62,73,68,"2.85M","-3.61%"
2017-11-20,72.62,71.7,73.25,71.13,"1.73M","1.28%"
2017-11-19,71.7,69.35,73.4,68.55,"2.24M","3.39%"
2017-11-18,69.35,67.5,69.95,65.62,"1.45M","2.74%"
2017-11-17,67.5,70.56,71.46,65.52,"3.31M","-4.34%"
2017-11-16,70.56,63.3,72.5,62.52,"3.64M","11.47%"
2017-11-15,63.3,62.33,65.43,62.2,"1.62M","1.56%"
2017-11-14,62.33,61.24,63.57,60.56,"1.45M","1.78%"
2017-11-13,61.24,58.81,62.42,58.23,"1.54M","4.13%"
2017-11-12,58.81,62.49,62.6,57.08,"2.45M","-5.89%"
2017-11-11,62.49,59.32,63.99,59.02,"1.96M","5.34%"
2017-11-10,59.32,64.4,65.94,56.13,"3.48M","-7.89%"
2017-11-09,64.4,62.46,67.24,61.89,"2.63M","3.11%"
2017-11-08,62.46,60.61,64.3,59.6,"3.39M","3.05%"
2017-11-07,60.61,54.6,63.71,54.6,"3.16M","11.01%"
2017-11-06,54.6,54.67,55.85,53.37,"952.22K","-0.13%"
2017-11-05,54.67,55.09,55.53,54.38,"652.87K","-0.76%"
2017-11-04,55.09,56.19,56.3,54.65,"686.04K","-1.96%"
2017-11-03,56.19,54.35,56.35,53.96,"1.36M","3.39%"
